sector	offices
Aging	16
Agriculture	8
Animal Protection	6
Arts and Culture	17
Civil Society Capacity Building	53
Disabilities	39
Disaster Relief	38
Economic Development	19
Education	313
Energy	2
Environment	49
Ethnic Affairs	3
Gender Issues	14
Health	81
Human Rights	2
Infrastructure	51
International Relations/Exchange	33
Labor	10
Law and Governance	20
LGBTQ Issues	1
Media	2
Migrants	1
Poverty Alleviation	136
Religion	3
Rural Issues/Development	29
Sport	7
Technology	13
Tourism	2
Trade	16
Urban Issues/Development	7
Youth	122
Unknown	3
