sector	activities
Aging	19
Agriculture	10
Animal Protection	6
Arts and Culture	21
Civil Society Capacity Building	68
Disabilities	49
Disaster Relief	40
Economic Development	21
Education	410
Energy	3
Environment	71
Ethnic Affairs	6
Gender Issues	16
Health	120
Human Rights	2
Infrastructure	61
International Relations/Exchange	56
Labor	11
Law and Governance	26
LGBTQ Issues	1
Media	2
Migrants	1
Poverty Alleviation	177
Religion	7
Rural Issues/Development	38
Sport	10
Technology	16
Tourism	2
Trade	19
Urban Issues/Development	7
Youth	163
Unknown	8
