week	number
January 1-8	0
January 9-15	0
January 16-22	0
January 23-29	0
Jan. 30 - Feb. 5	0
February 6-12	1
February 13-19	0
February 20-26	0
Feb. 27 - Mar. 5	2
March 6-12	1
March 13-19	3
March 20-26	4
Mar. 27 - April 2	9
April 3-9	8
April 10-16	22
April 17-23	6
April 24-30	5
May 1-7	15
May 8-14	5
May 15-21	12
May 22-28	14
May 29 - Jun. 4	6
June 5-11	8
June 12-18	16
June 19-25	10
Jun. 26 - Jul. 2	11
July 3-9	4
July 10-16	11
July 17-23	15
July 24-30	10
Jul. 31 - Aug. 6	15
August 7-13	13
August 14-20	5
August 21-27	9
Aug. 28 - Sept. 3	22
September 4-10	4
September 11-17	15
September 18-24	6
Sept. 25 - Oct. 1	16
October 2-8	4
October 9-15	13
October 16-22	6
October 23-29	3
Oct. 30 - Nov. 5	17
November 6-12	8
November 13-19	11
November 20-26	9
November 27-30	4
