week	number
January 2017	31
February 2017	1
March 2017	4
April 2017	34
May 2017	47
June 2017	24
July 2017	23
August 2017	17
September 2017	40
October 2017	15
November 2017	36
December 2017	24
January 2018	15
February 2018	16
March 2018	17
April 2018	16
May 2018	15
June 2018	2
July 2018	13
August 2018	6
September 2018	12
October 2018	6
November 2018	8
December 2018	6
January 2019	10
February 2019	2
March 2019	8
April 2019	10
May 2019	9
June 2019	7
July 2019	4
August 2019	6
September 2019	5
October 2019	4
November 2019	4
December 2019	14
January 2020	3
February 2020	3
March 2020	5
April 2020	7
