sector	offices
Aging	9
Agriculture	14
Animal Protection	7
Arts and Culture	35
Civil Soc'y Cap'y building	40
Disabilities	21
Disaster Relief	43
Econ. Development	44
Education	94
Energy	6
Environment	52
Ethnic Affairs	5
Gender Issues	15
Health	68
Human Rights	0
Infrastructure	17
Int'l Relations/Exchange	102
Labor	10
Law and Governance	24
LGBTQ Issues	0
Media	3
Migrants	9
Poverty Alleviation	65
Religion	2
Rural Issues/Devt	20
Sport	6
Technology	28
Tourism	14
Trade	220
Urban Issues/Devt	11
Youth	74
