country	activities
Aruba	1
Australia	50
Austria	1
Belgium	7
Brazil	3
Cambodia	1
Canada	30
Chile	1
Czechia	1
Denmark	9
Fiji	1
France	16
Georgia	1
Germany	127
Hong Kong	1505
Hungary	1
Israel	1
Italy	11
Japan	120
Kenya	1
Kuwait	2
Liechtenstein	1
Macau	159
Macau, Hong Kong	2
Malaysia	13
Mexico	2
Monaco	1
New Zealand	4
Norway	3
Panama	1
Peru	2
Russia	2
Saint Martin	1
Saudi Arabia	3
Singapore	13
South Africa	3
South Korea	39
Spain	2
Sri Lanka	3
Sweden	16
Switzerland	27
Taiwan	50
Thailand	3
The Netherlands	52
The Philippines	2
United Kingdom	96
United States	596
Unknown	97
Venezuela	3
Vietnam	6
Zambia	1
