sector	activities
Aging	78
Agriculture	27
Animal Protection	17
Arts and Culture	128
Capacity-Building	175
Disabilities	130
Disaster Relief	57
Economic Development	88
Education	1644
Energy	34
Environment	233
Ethnic Affairs	20
Gender Issues	59
Health	515
Human Rights	10
Infrastructure	202
Labor	33
Law and Governance	68
LGBTQ Issues	1
Media	16
Migrants	7
Poverty Alleviation	746
Religion	35
Rural Issues	124
Science and Technology	121
Sport	40
Tourism	8
Trade/Industry Association	59
Urban Issues	22
Youth	624
Field Unknown	99
