 checked,uploaded,# of Activities,Activity Name (English),Activity Name (Chinese),Organization Name (English),Organization Name (Chinese),Organization Origin,Chinese Partner Unit (CPU) (English),CPU (Chinese),Field of Work,Provinces,Activity Location (English),Activity Location (Chinese),Start Date,End Date,Dates of Activity,Website EN,Website CH,CPU Type,CPU Professional Supervisory Unit (English),CPU Professional Supervisory Unit (Chinese),Direct Registration?,Multiple NGOs or CPUs?,Month,Aging,Agriculture,Animal Protection,Arts and Culture,Civil Society Capacity Building,Disabilities,Disaster Relief,Economic Development,Education,Energy,Environment,Ethnic Affairs,Gender Issues,Health,Human Rights,Infrastructure,International Relations/Exchange,Labor,Law and Governance,LGBTQ Issues,Media,Migrants,Poverty Alleviation,Religion,Rural Issues/Development,Science and Technology,Sport,Tourism,Trade,Urban Issues/Development,Youth,Field Unknown,Length in days,Length in months,All of China,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Xinjiang Bingtuan,Yunnan,Zhejiang,Location Unknown,Sum sectors,Sum provinces,,Int'l locations,civil affairs,Education,science and tech,health and fam planning,intellectual property,environment,poverty alleviation,youth league,agriculture,commerce,religion,"culture, arts",disabilities,women,forestry,Taiwan,others,unknown,num of entry per row,CPU's PSU sector (spelled out),CPU province,CPU PSU highest-level body,CPU PSU hierarchy level ,Prefecture(s),County / Counties
x,x,4,14th Meeting of China-U.S. Young Leaders Forum,中美青年领导者论坛第14次会议,National Committee on United States-China Relations,美中关系全国委员会,United States,Chinese People’s Institute of Foreign Affairs,中国人民外交学会,International Relations/Exchange,Guangdong,Guangdong Province (Foshan City),广东省佛山市,2017-03-02,2017-03-08,2017.03.02-2017.03.08,https://www.ncuscr.org/,https://www.ncuscr.org/cn/who-we-are,Think Tank or Research Institution,Not Applicable,Not Applicable,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,1,,,,,,,,,,,,,,,,,1,education,Guangdong,Ministry of Education,Nation,,
x,x,1,Special Needs Adoption Support Activity,特需儿童收养对口帮扶活动,Lifeline Children’s Service Center,美国生命线儿童服务中心,United States,Chongqing Marriage and Adoption Registration Management Center,重庆市婚姻收养登记管理中心,"Disabilities, Youth",Chongqing,Chongqing City,重庆,2017-03-02,2018-03-02,2017.03.02-2018.03.02,http://lifelinechild.org/,N/A,Party or Government Entity,Not Applicable,Not Applicable,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,365,12,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,Chongqing,,,,
x,x,152,High School and University Student Aid Activity,高中生及大学生助学活动,Grace Charity Foundation Limited,慈恩基金会有限公司,Hong Kong,Qiannan Prefecture Overseas Association,黔南州海外联谊会,"Education, Poverty Alleviation, Youth",Guizhou,"Guizhou Province (Duyun City, Weng’an County, Longli County, Huishui County, Changshun County, Dushan County, Libo County)",都匀市、瓮安县、龙里县、惠水县、长顺县、独山县、荔波县，黔南师院,2017-03-08,2017-09-30,2017.03.08-2017.09.30,http://www.gracecharity.org/index.php?option=com_content&view=article&id=108&Itemid=231,http://www.gracecharity.org/,Party or Government Entity,Not Applicable,Not Applicable,,,3,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,206,6,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,1,Summer Program,美国华尔收养中心世界儿童基金会 夏冬令营,Hua’er Adoption Center World Children's Fund ,美国华尔收养中心世界儿童基金会,United States,Guangdong Province Zhongshan Children Welfare Hospital,广东省中山市儿童福利院,Youth,"Beijing, Guangdong, Guangxi, Xinjiang, Zhejiang","Guangdong Province / Guangxi Zhuang Autonomous Region / Zhejiang Province / Beijing City / Xinjiang Uighur Autonomous Region (Yili Autonomous Prefecture, Urumqi City, Bayinguolin Mongolian Autonomous Prefecture)",广东，广西，浙江，北京，新疆伊犁自治州，乌鲁木齐市，巴音郭勒蒙古自治州 ,2017-03-14,2018-03-14,2017.03.14-2018.03.14,N/A,N/A,Hospital or Medical Center,Not Applicable,Not Applicable,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,365,12,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,5,Beijing City Sustainable Communities Environmental Education Program,北京市可持续社区环境教育项目,Partnerships for Community Development Limited,社区伙伴,Hong Kong,All-China Environment Federation,中华环保联合会,"Education, Environment",All of China,China,中国北京,2017-03-15,2018-03-15,2017.03.15-2018.03.15,N/A,N/A,Party or Government Entity,Not Applicable,Not Applicable,,,3,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,365,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,China,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,12,Plan to Promote English Teaching and Reading,英语支教老师及阅读推广计划,Changing Young Lives Foundation,成长希望基金会,Hong Kong,Haidong City Zongka Charitable Association,海东市宗喀慈善协会,Education,Qinghai,"Qinghai Province (Haidong City, Xunhua County)",海东市循化县,2017-03-16,2017-08-31,2017.03.16-2017.08.31,https://www.changingyounglives.org.hk/,https://cn.changingyounglives.org.hk/,Non-profit or Foundation,Unknown,Unknown,0,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,168,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,Qinghai,,,,
x,x,6,Agreement to Oversee Services,督导服务协议,Hong Kong Sheng Kung Hui Welfare Council Limited,香港圣公会福利协会有限公司,Hong Kong,Guangzhou Enshan Social Service Center,广州恩善社会服务中心,"Aging, Civil Society Capacity-Building",Guangdong,Guangdong Province (Yuexiu and Liwan Districts),越秀区、荔湾区,2017-03-17,2018-02-28,2017.03.17-2018.02.28,http://www2.skhwc.org.hk/site/portal/Site.aspx?id=H8-224&lang=en-US,http://www2.skhwc.org.hk/site/portal/Site.aspx?id=H8-224&lang=zh-CN,Non-profit or Foundation,Unknown,Unknown,0,,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,11,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,50,Grassroots Organization Development and Support Program,草根组织成长支持项目,Oxfam,乐施会,Hong Kong,Anhui Yihe Commonweal Service Center,安徽益和公益服务中心,Civil Society Capacity-Building,Anhui,Anhui Province,安徽省内,2017-03-24,2017-12-31,2017.03.24-2017.12.31,http://www.oxfam.org.hk/en/China.aspx,http://www.oxfam.org.cn/,Non-profit or Foundation,Anhui Department of Civil Affairs,安徽省民政厅,1,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,50,Public Interest Leaders Capacity-Builidng and Network Development Program,公益人领导力建设及网络发展项目,Oxfam,乐施会,Hong Kong,Shaanxi Chunshan Public Interest Work Promotion Center (陕西纯山公益事业促进中心),陕西纯山公益事业促进中心,Civil Society Capacity-Building,Shaanxi,Shaanxi Province (Xi’an City),西安,2017-03-25,2018-02-28,2017.03.25-2018.02.28,http://www.oxfam.org.hk/en/China.aspx,http://www.oxfam.org.cn/,Non-profit or Foundation,Unknown,相关业务部门,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,4,Buddhist Digital Commons Archive Library,佛教通用数字档案馆,Buddhist Digital Resource Center,佛教数字资源中心,United States,Zhejiang University Buddhist Resource and Research Center,浙江大学佛教资源与研究中心,"Arts and Culture, Religion, Science and Technology","Beijing, Gansu, Inner Mongolia, Qinghai, Sichuan, Tibet, Yunnan, Zhejiang",Zhejiang Province / Beijing City / Sichuan Province / Gansu Province / Qinghai Province / Yunnan Province / Tibet Autonomous Region / Inner Mongolia Autonomous Region / and other provinces with an inheritance of Buddhist documents,浙江省，以及北京市、四川省、甘肃省、青海省、云南省、西藏自治区、内蒙古自治区等传承有佛教文献的其他省,2017-03-25,2018-03-25,2017.03.25-2018.03.25,https://www.tbrc.org/#!footer/about/newhome,N/A,"School, College, University, or Training Institution",Not Applicable,Not Applicable,,,3,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,365,12,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,x,2,"Contribution of Funds and Supplies to Liangshan, Sichuan Province",福慧教育基金会捐赠资金、物资在四川省凉山,Fu Hui Education Foundation,福慧教育基金会有限公司,Hong Kong,Cool Mountain Education Fund,凉山州教育基金会,Rural Issues/Development,Sichuan,Sichuan Province (Liangshan Prefecture),四川省凉山州,2017-03-25,2017-08-31,2017.03.25-2017.08.31,http://www.fuhui.ca/en/index.aspx,http://www.fuhui.ca/zh/index.aspx,Non-profit or Foundation,Liangshan Yi Autonomous Prefecture Bureau of Education,凉山彝族自治州教育局,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,159,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,,,,1,,,,,,,,,1,commerce,Beijing,Ministry of Commerce,Nation,,
x,x,23,Hua County and HIS Medical Exhange and Treatment Service,滑县与天邻医学交流及义诊服务,HIS Foundation,天邻基金会有限公司,Australia,Huaxian Charity Federation / Huaxian New Area Hospital,河南省滑县慈善总会/滑县新区医院,Health,Henan,Henan Province (Hua County),河南省滑县,2017-03-26,2017-10-31,2017.03.26-2017.10.31,N/A,http://clientsv1.charityadvantageservers.com/client/HISFoundationUSA/home_cn.aspx,Non-Profit or Foundation,Unknown,Unknown,0,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,219,7,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,Beijing,,,,
x,x,2,National Primary and Secondary School Safety Education Day Children’s Safety Forum,安童生全国中小学安全教育日主题论坛,China Public Security Education Foundation,中国公共安全教育基金会有限公司,Hong Kong,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,"Education, Youth",Beijing,"Beijing City (Chaoyang District, A.C. Art Museum)",北京市朝阳区东直门外大街26号奥加美术馆,2017-03-27,2017-03-28,2017.03.27-2017.03.28,N/A,N/A,Non-profit or Foundation,Ministry of Civil Affairs,民政部,1,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,Beijing,,,,
